Family & Model ,Logical Width,Logical Height
iPad 10th gen,820,1180
iPad 1st gen,768,1024
iPad 2,768,1024
iPad 3rd gen,768,1024
iPad 4th gen,768,1024
iPad 5th gen,768,1024
iPad 6th gen,768,1024
iPad 7th gen,810,1080
iPad 8th gen,810,1080
iPad 9th gen,810,1080
iPad Air,768,1024
iPad Air (3rd gen),834,1112
iPad Air (4th gen),820,1180
iPad Air (5th gen),820,1180
"iPad Air (6th gen 11"")",820,1180
"iPad Air (6th gen 13"")",1024,1366
iPad Air 2,768,1024
iPad mini,768,1024
iPad Mini (5th gen),768,1024
iPad Mini (6th gen),744,1133
iPad Mini (7th gen),744,1133
iPad mini 2,768,1024
iPad mini 3,768,1024
iPad mini 4,768,1024
"iPad Pro (1st gen 12.9"")",1024,1366
iPad Pro (1st gen 9.7”),768,1024
"iPad Pro (2nd gen 10.5"")",834,1112
"iPad Pro (2nd gen 12.9"")",1024,1366
"iPad Pro (3rd gen 11"")",834,1194
"iPad Pro (3rd gen 12.9"")",1024,1366
"iPad Pro (4th gen 11"")",834,1194
"iPad Pro (4th gen 12.9"")",1024,1366
"iPad Pro (5th gen 11"")",834,1194
"iPad Pro (5th gen 12.9"")",1024,1366
"iPad Pro (6th gen 11"")",834,1194
"iPad Pro (6th gen 12.9"")",1024,1366
"iPad Pro (7th gen 11"")",834,1210
"iPad Pro (7th gen 13"")",1032,1376